 First iteration    2536.4628724250661             1155   2.1960717510173731     
After minimisation    2536.46  1155     2.196

  Partial chi2s 
Dataset    1    801.75(+24.74)   377  HERA1+2 NCep 920                                
Dataset    2     89.85( +4.53)    70  HERA1+2 NCep 820                                
Dataset    3    287.35(+14.23)   254  HERA1+2 NCep 575                                
Dataset    4    267.33( +8.71)   204  HERA1+2 NCep 460                                
Dataset    5    298.79( +0.01)   159  HERA1+2 NCem                                    
Dataset    6     49.18( +0.02)    39  HERA1+2 CCep                                    
Dataset    7     66.86( -2.36)    42  HERA1+2 CCem                                    
Dataset    8     10.69( +0.66)     8  ATLAS low mass DY 2011                          
Dataset    9    159.24( -5.21)    14  ATLAS 8 TeV $W^+$ +jets $W_{p_T}$               

 Correlated Chi2    460.09571106390439     
 Log penalty Chi2    45.314693205245376     
 Systematic shifts          233
  
                                Name          Shift   +/-    Error          Type
   41  sysHZComb1041                         -0.5003   +/-   0.8126        :N:M:D
   42  sysHZComb1042                         -0.0952   +/-   0.8746        :N:M:D
   43  sysHZComb1043                         -0.0532   +/-   0.9096        :N:M:D
   44  sysHZComb1044                         -0.0185   +/-   0.9368        :N:M:D
   45  sysHZComb1045                         -0.3201   +/-   0.9311        :N:M:D
   46  sysHZComb1046                         -0.0337   +/-   0.9570        :N:M:D
   47  sysHZComb1047                          0.1257   +/-   0.9470        :N:M:D
   48  sysHZComb1048                          0.0308   +/-   0.9610        :N:M:D
   49  sysHZComb1049                         -0.7858   +/-   0.9461        :N:M:D
   50  sysHZComb1050                          0.6074   +/-   0.9430        :N:M:D
   51  sysHZComb1051                          0.4398   +/-   0.9524        :N:M:D
   52  sysHZComb1052                          0.8886   +/-   0.9507        :N:M:D
   53  sysHZComb1053                         -2.8955   +/-   0.9192        :N:M:D
   54  sysHZComb1054                         -0.0784   +/-   0.9750        :N:M:D
   55  sysHZComb1055                         -1.5022   +/-   0.9057        :N:M:D
   56  sysHZComb1056                         -1.6190   +/-   0.8905        :N:M:D
   57  sysHZComb1057                          0.1836   +/-   0.9195        :N:M:D
   58  sysHZComb1058                          0.1127   +/-   0.9433        :N:M:D
   59  sysHZComb1059                         -0.8671   +/-   0.8699        :N:M:D
   60  sysHZComb1060                          0.1833   +/-   0.9790        :N:M:D
   61  sysHZComb1061                          0.0952   +/-   0.9831        :N:M:D
   62  sysHZComb1062                         -1.4010   +/-   0.8951        :N:M:D
   63  sysHZComb1063                          0.7579   +/-   0.8364        :N:M:D
   64  sysHZComb1064                          0.7249   +/-   0.9294        :N:M:D
   65  sysHZComb1065                         -0.8734   +/-   0.9469        :N:M:D
   66  sysHZComb1066                         -0.7461   +/-   0.9321        :N:M:D
   67  sysHZComb1067                         -0.2732   +/-   0.9639        :N:M:D
   68  sysHZComb1068                         -0.3685   +/-   0.9200        :N:M:D
   69  sysHZComb1069                         -0.0515   +/-   0.9125        :N:M:D
   70  sysHZComb1070                          0.5154   +/-   0.9075        :N:M:D
