 First iteration    15461.481497209101             1132   13.658552559371998     
After minimisation   15461.48  1132    13.659

  Partial chi2s 
Dataset    1   5954.32(-59.22)   377  HERA1+2 NCep 920                                
Dataset    2    368.92(-14.61)    70  HERA1+2 NCep 820                                
Dataset    3    688.81(-55.13)   254  HERA1+2 NCep 575                                
Dataset    4   1114.41(-43.99)   204  HERA1+2 NCep 460                                
Dataset    5   2791.36( -7.71)   159  HERA1+2 NCem                                    
Dataset    6    286.53( +1.87)    39  HERA1+2 CCep                                    
Dataset    7    233.98( -1.73)    42  HERA1+2 CCem                                    

 Correlated Chi2    4203.6582013596380     
 Log penalty Chi2   -180.50887527955862     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
   85  sysHZComb1085                         -0.2379   +/-   0.8685        :N:M:D
   86  sysHZComb1086                         -0.0182   +/-   0.7916        :N:M:D
   87  sysHZComb1087                         -0.5647   +/-   0.8596        :N:M:D
   88  sysHZComb1088                          0.2383   +/-   0.9911        :N:M:D
   89  sysHZComb1089                         -0.0228   +/-   0.9609        :N:M:D
   90  sysHZComb1090                          0.7868   +/-   0.9428        :N:M:D
   91  sysHZComb1091                          0.7205   +/-   0.8870        :N:M:D
   92  sysHZComb1092                          0.1842   +/-   0.8088        :N:M:D
   93  sysHZComb1093                          0.0527   +/-   0.7902        :N:M:D
   94  sysHZComb1094                          0.0563   +/-   0.9992        :N:M:D
   95  sysHZComb1095                         -0.4648   +/-   0.8456        :N:M:D
   96  sysHZComb1096                          0.0784   +/-   0.8946        :N:M:D
   97  sysHZComb1097                          0.4430   +/-   0.9880        :N:M:D
   98  sysHZComb1098                          1.7200   +/-   0.7353        :N:M:D
   99  sysHZComb1099                         -0.8807   +/-   0.6833        :N:M:D
  100  sysHZComb1100                         -0.8200   +/-   0.6875        :N:M:D
  101  sysHZComb1101                         -0.1874   +/-   0.7719        :N:M:D
  102  sysHZComb1102                         -0.5365   +/-   0.9019        :N:M:D
  103  sysHZComb1103                          0.3771   +/-   0.7905        :N:M:D
  104  sysHZComb1104                         -1.2590   +/-   0.7938        :N:M:D
  105  sysHZComb1105                          0.9947   +/-   0.6949        :N:M:D
  106  sysHZComb1106                         -0.3092   +/-   0.7717        :N:M:D
  107  sysHZComb1107                          0.8099   +/-   0.7412        :N:M:D
